City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
San Francisco,3/10/2011,6.12374E+11,Online Communities,Providence County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Manville,RI,San Francisco Bay Area,499,1,3904,3.904,,49.9
Hillsborough,3/10/2011,3.54636E+11,Solar Energy,Newport County,Renewable Energy,"Durham-Chapel Hill, NC",South East,Generating Revenue,Newport,RI,,3169,1,23267,23.267,,316.9
San Mateo,3/10/2011,6.12545E+11,Medical Software and Information Services: Other,Newport County,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Middletown,RI,San Francisco Bay Area,1509,1,16079,16.079,,150.9
Durham,3/10/2011,6.12472E+11,Diagnostic Equipment (Not Imaging),Washington County,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Product Development,North Kingstown,RI,,2056,1,22129,22.129,,205.6
Palo Alto,3/10/2011,6.14095E+11,Biopharmaceuticals: Other,Providence County,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Scituate,RI,San Francisco Bay Area,582,1,9044,9.044,,58.2
San Francisco,3/10/2011,6.12373E+11,Educational/Training Software,Providence County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Burrillville,RI,San Francisco Bay Area,887,1,7426,7.426,,88.7
La Jolla,3/10/2011,6.12488E+11,Network/Systems Management Software,Providence County,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Pawtucket,RI,San Diego Metro,3141,1,25163,25.163,,314.1
New Canaan,3/10/2011,6.06829E+11,Business Applications Software,Providence County,Software,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Central Falls,RI,New York Metro,5811,1,19395,19.395,,581.1
Minneapolis,3/11/2011,4.70861E+11,Advertising/Marketing,Providence County,Business Support Services,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product In Beta Test,Cumberland,RI,,2488,1,34452,34.452,,248.8
Portland,3/11/2011,63747755631,IT Consulting,Providence County,Business Support Services,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Product Development,Lincoln,RI,,1466,1,16784,16.784,,146.6
San Francisco,3/11/2011,2.30229E+11,Search Portals,Newport County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Portsmouth,RI,San Francisco Bay Area,1039,1,17165,17.165,,103.9
San Francisco,3/11/2011,6.12517E+11,Consumer Information Services: Other,Washington County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,North Kingstown,RI,San Francisco Bay Area,220,1,6245,6.245,,22
Cambridge,3/11/2011,1.1255E+11,Biotechnology Therapeutics,Newport County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Tiverton,RI,Boston Metro,909,1,15870,15.87,,90.9
San Francisco,3/11/2011,6.12679E+11,Diagnostic Equipment (Not Imaging),Washington County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,South Kingstown,RI,San Francisco Bay Area,1670,1,20736,20.736,,167
Atlanta,3/11/2011,6.12675E+11,Healthcare Administration Software,Washington County,Medical Software and Information Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Kingston,RI,,589,1,7842,7.842,,58.9
Haddonfield,3/11/2011,55981755572,Surgical Devices,Washington County,Medical Devices and Equipment,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Narragansett,RI,,2685,1,13654,13.654,,268.5
Miami,3/11/2011,6.12715E+11,Business Applications Software,Bristol County,Software,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,Warren,RI,,1110,1,10492,10.492,,111
Wilmington,3/11/2011,95176755449,Computer Peripherals,Kent County,Electronics and Computer Hardware,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Warwick,RI,Boston Metro,2327,1,28695,28.695,,232.7
Waltham,3/11/2011,68672755629,Consumer Electronics,Kent County,Electronics and Computer Hardware,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Warwick,RI,Boston Metro,1103,1,19328,19.328,,110.3
Bellevue,3/11/2011,1.11041E+11,Design Automation Software,Kent County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Warwick,RI,Seattle Metro,1789,1,27461,27.461,,178.9
Youngstown,3/12/2011,6.12994E+11,Data Management Services,Washington County,Business Support Services,"Cleveland-Elyria-Mentor, OH",Midwest East,Startup,Westerly,RI,,2200,1,21031,21.031,,220
Norcross,3/13/2011,98508757970,Solar Energy,Washington County,Renewable Energy,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Richmond,RI,,141,1,4977,4.977,,14.1
Cambridge,3/14/2011,6.12486E+11,General Business Consulting,Kent County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,West Warwick,RI,Boston Metro,4271,1,29260,29.26,,427.1
Cambridge,3/14/2011,55973755171,Personal Care Products,Providence County,Personal Goods,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Woonsocket,RI,Boston Metro,9937,1,41508,41.508,,993.7
Fremont,3/14/2011,54954761731,Diagnostic Imaging Equipment,Providence County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,North Smithfield,RI,San Francisco Bay Area,520,1,12121,12.121,,52
St. Louis,3/14/2011,1.13101E+11,Diagnostic Imaging Equipment,Washington County,Medical Devices and Equipment,"St. Louis, MO-IL",Midwest Central,Generating Revenue,Richmond,RI,,10,1,1441,1.441,,1
Santa Clara,3/14/2011,6.1303E+11,Application-Specific Integrated Circuits,Providence County,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Providence,RI,San Francisco Bay Area,3082,1,10890,10.89,,308.2
Berkeley,3/14/2011,1.8337E+11,Semiconductors: Other,Providence County,Semiconductors,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,North Providence,RI,San Francisco Bay Area,5380,1,30702,30.702,,538
Newport Beach,3/14/2011,6.12542E+11,Vertical Market Applications Software,Providence County,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Providence,RI,Orange County,6302,1,25497,25.497,,630.2
Beaverton,3/14/2011,1.0301E+11,Communications Software,Providence County,Software,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Providence,RI,,4160,1,28745,28.745,,416
Issaquah,3/14/2011,59384755396,Network/Systems Management Software,Providence County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Providence,RI,Seattle Metro,7949,1,29006,29.006,,794.9
Alexandria,3/15/2011,6.12581E+11,Facilities/Operations Management,Providence County,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Providence,RI,Potomac,7655,1,37309,37.309,,765.5
Watertown,3/15/2011,1.13477E+11,Payment/Transactional Processing,Providence County,Financial Institutions and Services,"Hartford-West Hartford-East Hartford, CT",New England,Generating Revenue,Providence,RI,,12653,1,41524,41.524,,1265.3
Wakefield,3/15/2011,75212757792,Business Support Services: Other,Providence County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Cranston,RI,Boston Metro,2349,1,21607,21.607,,234.9
Los Angeles,3/15/2011,1.11335E+11,Advertising/Marketing,Providence County,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,North Providence,RI,Los Angeles Metro,1430,1,15812,15.812,,143
Atlanta,3/15/2011,3.56874E+11,Security Services,Providence County,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,East Providence,RI,,2942,1,21533,21.533,,294.2
Indianapolis,3/15/2011,56016755541,Online Communities,Providence County,Consumer Information Services,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,East Providence,RI,,1607,1,16778,16.778,,160.7
Guilford,3/15/2011,6.12516E+11,Biofuels/Biomass,Providence County,Renewable Energy,"New Haven-Milford, CT",Mid-Atlantic,Generating Revenue,East Providence,RI,New York Metro,393,1,8991,8.991,,39.3
Cambridge,3/15/2011,87574758806,Therapeutic Devices (Minimally Invasive/Noninvasive),Providence County,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Smithfield,RI,Boston Metro,402,1,13956,13.956,,40.2
Philadelphia,3/15/2011,59366755297,Biotechnology Therapeutics,Providence County,Biopharmaceuticals,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Johnston,RI,,2283,1,29159,29.159,,228.3
San Francisco,3/15/2011,6.12508E+11,Business Applications Software,Providence County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Cranston,RI,San Francisco Bay Area,3805,1,37153,37.153,,380.5
San Francisco,3/15/2011,6.11012E+11,Software Development Tools,Providence County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Cranston,RI,San Francisco Bay Area,406,1,12885,12.885,,40.6
San Mateo,3/15/2011,72478755177,Business Applications Software,Hillsborough County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Amherst,NH,San Francisco Bay Area,209,1,11412,11.412,,20.9
Washington,3/15/2011,6.12598E+11,Communications Software,Rockingham County,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Startup,Auburn,NH,Potomac,111,1,5293,5.293,,11.1
Columbia,3/16/2011,3.55617E+11,Media and Content: Other,Hillsborough County,Media and Content,"Columbia, MO",Midwest Central,Generating Revenue,Brookline,NH,,44,1,5190,5.19,,4.4
Cambridge,3/16/2011,6.12587E+11,Biotechnology Therapeutics,Rockingham County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Candia,NH,Boston Metro,247,1,3974,3.974,,24.7
San Diego,3/16/2011,1.11067E+11,Biotechnology Therapeutics,Rockingham County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Chester,NH,San Diego Metro,150,1,4935,4.935,,15
Maricopa,3/16/2011,1.05897E+11,Materials and Chemicals: Other,Rockingham County,Materials and Chemicals,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Deerfield,NH,,227,1,4380,4.38,,22.7
Seattle,3/16/2011,6.12633E+11,Graphics/Publishing Software,Rockingham County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Derry,NH,Seattle Metro,2293,1,33617,33.617,,229.3
Encinitas,3/16/2011,1.14964E+11,Communications Software,Rockingham County,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Epping,NH,San Diego Metro,351,1,6835,6.835,,35.1
Menlo Park,3/16/2011,6.05652E+11,Electronic Components/Devices,Hillsborough County,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Francestown,NH,San Francisco Bay Area,107,1,1593,1.593,,10.7
Seattle,3/16/2011,3.57056E+11,Software Development Tools,Rockingham County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Fremont,NH,Seattle Metro,124,1,4498,4.498,,12.4
Seattle,3/16/2011,4.70656E+11,Communications Software,Hillsborough County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Goffstown,NH,Seattle Metro,882,1,13955,13.955,,88.2
Los Angeles,3/16/2011,6.12596E+11,Multimedia/Streaming Software,Merrimack County,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Dunbarton,NH,Los Angeles Metro,42,1,2788,2.788,,4.2
Menlo Park,3/16/2011,6.1298E+11,To Be Assigned,Hillsborough County,To Be Assigned,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,Greenfield,NH,San Francisco Bay Area,124,1,1748,1.748,,12.4
Needham,3/17/2011,6.12632E+11,Consumer Information Services: Other,Hillsborough County,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Greenville,NH,Boston Metro,275,1,3357,3.357,,27.5
McLean,3/17/2011,6.12622E+11,Solar Energy,Hillsborough County,Renewable Energy,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Hollis,NH,Potomac,151,1,7779,7.779,,15.1
Cambridge,3/17/2011,6.12624E+11,Biotechnology Therapeutics,Hillsborough County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Hudson,NH,Boston Metro,1413,1,24856,24.856,,141.3
San Francisco,3/17/2011,55104755346,Consumer Electronics,Hillsborough County,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Litchfield,NH,San Francisco Bay Area,191,1,8426,8.426,,19.1
Daly City,3/18/2011,6.1302E+11,Travel Arrangement/Tourism,Rockingham County,Travel and Leisure,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Londonderry,NH,San Francisco Bay Area,736,1,24854,24.854,,73.6
Menlo Park,3/18/2011,6.03268E+11,Medical Devices and Equipment: Other,Hillsborough County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,Merrimack,NH,San Francisco Bay Area,1265,1,25566,25.566,,126.5
Boulder,3/18/2011,3.53169E+11,Diagnostic Equipment (Not Imaging),Hillsborough County,Medical Devices and Equipment,"Boulder, CO",Mountain,Product Development,Milford,NH,,569,1,15117,15.117,,56.9
New York,3/18/2011,6.07076E+11,Business Applications Software,Hillsborough County,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Mont Vernon,NH,New York Metro,173,1,2554,2.554,,17.3
San Francisco,3/18/2011,76935755700,Business Applications Software,Hillsborough County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Nashua,NH,San Francisco Bay Area,4988,1,29861,29.861,,498.8
Hillsboro,3/18/2011,85556755815,Integrated Circuit Production,Hillsborough County,Semiconductors,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Product Development,Nashua,NH,,1188,1,27343,27.343,,118.8
San Francisco,3/18/2011,6.12666E+11,Recreational/Home Software,Hillsborough County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Nashua,NH,San Francisco Bay Area,1142,1,16326,16.326,,114.2
Columbus,3/21/2011,6.12694E+11,Specialty Foods,Hillsborough County,Food and Beverage,"Columbus, OH",Midwest East,Generating Revenue,Nashua,NH,,1973,1,14112,14.112,,197.3
San Diego,3/21/2011,6.12408E+11,Drug Delivery,Hillsborough County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,New Boston,NH,San Diego Metro,112,1,5464,5.464,,11.2
Fort Washington,3/21/2011,1.14224E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Hillsborough County,Medical Devices and Equipment,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Pre-Clinical Trials,New Ipswich,NH,,153,1,5236,5.236,,15.3
Lexington,3/21/2011,6.13006E+11,Medical Devices and Equipment: Other,Hillsborough County,Medical Devices and Equipment,"Lexington-Fayette, KY",Midwest East,Generating Revenue,Pelham,NH,,467,1,13323,13.323,,46.7
Menlo Park,3/21/2011,3.56651E+11,Therapeutic Devices (Invasive),Rockingham County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Raymond,NH,San Francisco Bay Area,1005,1,10415,10.415,,100.5
Aliso Viejo,3/21/2011,1.11561E+11,Medical Devices and Equipment: Other,Rockingham County,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Salem,NH,Orange County,1296,1,29039,29.039,,129.6
Wellesley,3/21/2011,6.12886E+11,Business Applications Software,Hillsborough County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Lyndeborough,NH,Boston Metro,67,1,1734,1.734,,6.7
Waltham,3/21/2011,6.12617E+11,Software: Other,Hillsborough County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Temple,NH,Boston Metro,102,1,1408,1.408,,10.2
Durham,3/21/2011,1.13679E+11,Recreational/Home Software,Hillsborough County,Software,"Durham-Chapel Hill, NC",South East,Generating Revenue,Wilton,NH,,127,1,3760,3.76,,12.7
Los Angeles,3/21/2011,93880755831,Network/Systems Management Software,Rockingham County,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Windham,NH,Los Angeles Metro,414,1,14344,14.344,,41.4
Lexington,3/22/2011,1.14308E+11,Business Support Services: Other,Hillsborough County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Manchester,NH,Boston Metro,4946,1,31841,31.841,,494.6
San Mateo,3/22/2011,6.12779E+11,Entertainment,Hillsborough County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Manchester,NH,San Francisco Bay Area,6379,1,37087,37.087,,637.9
Hollywood,3/22/2011,6.12656E+11,Entertainment,Hillsborough County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Manchester,NH,Los Angeles Metro,3661,1,32223,32.223,,366.1
Massapequa,3/22/2011,6.12748E+11,Biotechnology Therapeutics,Merrimack County,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 1,Hooksett,NH,New York Metro,562,1,13987,13.987,,56.2
Chanhassen,3/22/2011,6.13062E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Hillsborough County,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Manchester,NH,,608,1,10852,10.852,,60.8
Kansas City,3/22/2011,6.12669E+11,General Industrial Goods,Hillsborough County,Machinery and Industrial Goods,"Kansas City, MO-KS",Midwest Central,Generating Revenue,Bedford,NH,,376,1,22019,22.019,,37.6
San Francisco,3/22/2011,6.08565E+11,Educational/Training Software,Grafton County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Waterville Valley,NH,San Francisco Bay Area,0,1,191,0.191,,0
Coral Springs,3/22/2011,6.12701E+11,Vertical Market Applications Software,Merrimack County,Software,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Product Development,Andover,NH,,228,1,2517,2.517,,22.8
Colmar,3/22/2011,1.09915E+11,Electronic Components/Devices,Grafton County,Electronics and Computer Hardware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Ashland,NH,,479,1,2242,2.242,,47.9
San Francisco,3/22/2011,4.71257E+11,Vertical Market Applications Software,Belknap County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Belmont,NH,San Francisco Bay Area,538,1,7354,7.354,,53.8
New Haven,3/23/2011,6.13024E+11,Entertainment,Merrimack County,Consumer Information Services,"New Haven-Milford, CT",Mid-Atlantic,Generating Revenue,Bradford,NH,New York Metro,160,1,2284,2.284,,16
Chicago,3/23/2011,6.12677E+11,Restaurants/Food Service,Grafton County,Travel and Leisure,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Bristol,NH,Chicago Metro,642,1,5822,5.822,,64.2
New York,3/23/2011,6.12729E+11,Consumer Information Services: Other,Grafton County,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Campton,NH,New York Metro,187,1,3365,3.365,,18.7
Mountain Veiw,3/23/2011,6.12735E+11,Healthcare Administration Software,Merrimack County,Medical Software and Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Canterbury,NH,San Francisco Bay Area,71,1,2248,2.248,,7.1
San Francisco,3/23/2011,6.12731E+11,Communications Software,Belknap County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Barnstead,NH,San Francisco Bay Area,181,1,3709,3.709,,18.1
Santa Clara,3/23/2011,55772755520,Application-Specific Integrated Circuits,Belknap County,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Center Harbor,NH,San Francisco Bay Area,69,1,1000,1,,6.9
Conshohocken,3/23/2011,6.13188E+11,Business Applications Software,Carroll County,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Sandwich,NH,,68,1,1025,1.025,,6.8
Bountiful,3/23/2011,6.13185E+11,Database Software,Merrimack County,Software,"Salt Lake City, UT",Mountain,Generating Revenue,Hopkinton,NH,,213,1,5614,5.614,,21.3
Atlanta,3/23/2011,6.10265E+11,Network/Systems Management Software,Merrimack County,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Danbury,NH,,27,1,1369,1.369,,2.7
Dayton,3/24/2011,6.13339E+11,Advertising/Marketing,Merrimack County,Business Support Services,"Dayton, OH",Midwest East,Product Development,Epsom,NH,,172,1,4652,4.652,,17.2
Seattle,3/24/2011,84637757779,Advertising/Marketing,Merrimack County,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Franklin,NH,Seattle Metro,1222,1,8607,8.607,,122.2
Chicago,3/24/2011,6.12974E+11,Shopping Facilitators,Belknap County,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Gilmanton,NH,Chicago Metro,125,1,2082,2.082,,12.5
Palo Alto,3/24/2011,1.1254E+11,Biopharmaceuticals: TBA,Grafton County,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Grafton,NH,San Francisco Bay Area,108,1,1177,1.177,,10.8
San Diego,3/24/2011,1.02987E+11,Network/Systems Management Software,Grafton County,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Profitable,Hebron,NH,San Diego Metro,89,1,804,0.804,,8.9
Durham,3/24/2011,6.12705E+11,Graphics/Publishing Software,Merrimack County,Software,"Durham-Chapel Hill, NC",South East,Product Development,Henniker,NH,,467,1,4893,4.893,,46.7
Mason,3/25/2011,1.11627E+11,Medical/Lab Services,Merrimack County,Healthcare Services,"Cincinnati-Middletown, OH-KY-IN",Midwest East,Generating Revenue,Hill,NH,,64,1,946,0.946,,6.4
Memphis,3/25/2011,1.11155E+11,Clinical Decision Support,Hillsborough County,Medical Software and Information Services,"Memphis, TN-MS-AR",South East,Generating Revenue,Hillsborough,NH,,346,1,8039,8.039,,34.6
Tyngsboro,3/25/2011,3.57265E+11,Drug Delivery,Grafton County,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Holderness,NH,Boston Metro,244,1,2147,2.147,,24.4
West Melbourne,3/25/2011,3.5964E+11,Security Products,Belknap County,Aerospace and Defense,"Palm Bay-Melbourne-Titusville, FL",South East,Generating Revenue,Laconia,NH,,2243,1,16237,16.237,,224.3
Washington,3/25/2011,6.08784E+11,Educational/Training Software,Belknap County,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Gilford,NH,Potomac,562,1,7111,7.111,,56.2
New York,3/25/2011,6.11513E+11,Wired Telecommunications Service Providers,Grafton County,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Lincoln,NH,New York Metro,198,1,1283,1.283,,19.8
Boston,3/25/2011,6.12941E+11,Business Applications Software,Belknap County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Meredith,NH,Boston Metro,601,1,6273,6.273,,60.1
Seattle,3/25/2011,6.1512E+11,Recreational/Home Software,Carroll County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Moultonborough,NH,Seattle Metro,184,1,4101,4.101,,18.4
Alpharetta,3/25/2011,6.12753E+11,Business Applications Software,Merrimack County,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Newbury,NH,,44,1,1899,1.899,,4.4
Cambridge,3/25/2011,81134757607,Communications Software,Belknap County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,New Hampton,NH,Boston Metro,226,1,2303,2.303,,22.6
Mill Valley,3/28/2011,6.1289E+11,Business Support Services: Other,Merrimack County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,New London,NH,San Francisco Bay Area,250,1,4711,4.711,,25
Indianapolis,3/28/2011,69881757719,Advertising/Marketing,Merrimack County,Business Support Services,"Indianapolis-Carmel, IN",Midwest East,Profitable,Chichester,NH,,191,1,2623,2.623,,19.1
Carmel,3/28/2011,66123757649,Lending,Rockingham County,Financial Institutions and Services,"Indianapolis-Carmel, IN",Midwest East,Profitable,Northwood,NH,,366,1,4312,4.312,,36.6
Waltham,3/28/2011,6.063E+11,Building Construction,Merrimack County,Construction and Civil Engineering,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Pittsfield,NH,Boston Metro,602,1,4058,4.058,,60.2
San Francisco,3/28/2011,6.07509E+11,Shopping Facilitators,Grafton County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Plymouth,NH,San Francisco Bay Area,1056,1,7152,7.152,,105.6
Fort Collins,3/28/2011,1.83125E+11,Biofuels/Biomass,Grafton County,Renewable Energy,"Fort Collins-Loveland, CO",Mountain,Generating Revenue,Rumney,NH,,294,1,2319,2.319,,29.4
Edina,3/28/2011,6.12862E+11,Inpatient Facilities,Merrimack County,Healthcare Services,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Salisbury,NH,,35,1,1130,1.13,,3.5
San Mateo,3/28/2011,96976757882,Therapeutic Devices (Minimally Invasive/Noninvasive),Belknap County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Sanbornton,NH,San Francisco Bay Area,81,1,2973,2.973,,8.1
Franklin,3/28/2011,74268758192,Managed Care,Merrimack County,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Profitable,Suncook,NH,,849,1,11452,11.452,,84.9
San Diego,3/28/2011,1.00982E+11,Biotechnology Therapeutics,Merrimack County,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Northfield,NH,San Diego Metro,571,1,8291,8.291,,57.1
San Diego,3/28/2011,6.12852E+11,Medical/Lab Services,Merrimack County,Healthcare Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Warner,NH,San Diego Metro,188,1,2882,2.882,,18.8
San Francisco,3/28/2011,6.14094E+11,Electronic Components/Devices,Sullivan County,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Washington,NH,San Francisco Bay Area,52,1,1265,1.265,,5.2
Sunnyvale,3/28/2011,54528755645,Wireless Communications Equipment,Hillsborough County,Communications and Networking,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Weare,NH,San Francisco Bay Area,481,1,8921,8.921,,48.1
Santa Clara,3/28/2011,99128755735,General Purpose Integrated Circuits,Sullivan County,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Springfield,NH,San Francisco Bay Area,60,1,767,0.767,,6
Houston,3/28/2011,55033757799,Network/Systems Management Software,Grafton County,Software,"Houston-Baytown-Sugar Land, TX",South Central,Generating Revenue,Thornton,NH,,60,1,2024,2.024,,6
New York,3/29/2011,1.82568E+11,IT Consulting,Merrimack County,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Wilmot,NH,New York Metro,108,1,1389,1.389,,10.8
